amenity,addr:county,addr:district,operator:type,fees,photo,source,operational_status,drinking_water,water:system,pump,name,latitude,longitude,install_year
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Ff6219314-c2ed-4eff-89ae-ad403aac4206%2F1653307795543.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.9073753,32.2664302,6/10/2018
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F31ea584e-cbb1-4b71-97a6-43308cd1480a%2F1652871763352.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.792127,32.3478391,
water_point,aswa,gulu,private_ownership,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F32851892-892a-4dfb-bfe7-4c4a6a210291%2F1653302572185.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7667837,32.2433661,12/9/2021
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fe5bce2cf-1c77-4e9f-8a15-b913ff28e023%2F1652947461936.jpg,youthmappers_gulu,Deccommissioned,yes,groundwater,yes,deep_borehole,2.806622,32.3281204,11/5/2003
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F96838d5c-cb25-4d0a-9cbe-e59c307c228c%2F1653491067535.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8561845,32.2341474,
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F07f5ba6c-8cc0-40ac-946b-93e139dd4617%2F1652963198319.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,no,rainwater_harvest_tank,2.7998663,32.3500427,6/22/2021
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F50ab737f-83b3-4441-95fd-f9f5ff4a6270%2F1653126241419.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,protected_spring,2.788485,32.3223883,9/17/2008
water_point,aswa,gulu,private_ownership,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F3ca0b24a-5fd6-42f3-9227-119d0f3f8a03%2F1652879548098.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,yes,tap,2.8137029,32.3307246,
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fa30df72b-fca6-45db-ba68-83b867b5ba6a%2F1653395056772.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8480309,32.2389492,
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F4a21ecb8-af75-4a2a-84c4-006819bed408%2F1652962837929.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8086185,32.3997892,12/8/2010
